latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
54.54,7.22,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_direction_10m (°),wind_speed_10m (km/h),weather_code (wmo code),cloud_cover (%),pressure_msl (hPa),surface_pressure (hPa),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-01T06:00,6,78,235,11.4,3,94,1031.8,1031.8,1,319,0,250,0.9,259,NaN
2025-02-01T07:00,6.2,78,232,11.8,3,91,1031.7,1031.7,0.96,319,0.02,245,0.5,180,NaN
2025-02-01T08:00,5.8,83,229,14.8,3,98,1031.9,1031.9,0.94,320,0.04,241,1.3,124,NaN
2025-02-01T09:00,5.8,84,220,16.9,3,95,1032.1,1032.1,0.9,320,0.06,236,1.9,119,NaN
2025-02-01T10:00,5.9,82,217,16.7,3,96,1031.8,1031.8,0.86,320,0.08,233,1.8,114,NaN
2025-02-01T11:00,5.8,86,212,17.8,3,97,1031.6,1031.6,0.82,319,0.12,230,1.3,106,NaN
2025-02-01T12:00,5.9,87,212,17.5,3,84,1031.6,1031.6,0.78,319,0.14,227,0.9,90,NaN
2025-02-01T13:00,5.8,88,220,17.9,3,94,1031.3,1031.3,0.76,318,0.14,223,0.6,18,NaN
2025-02-01T14:00,5.8,87,228,17.3,3,92,1031,1031,0.74,316,0.14,220,1,329,NaN
2025-02-01T15:00,5.7,87,234,14.7,3,99,1030.7,1030.7,0.72,315,0.14,216,1.3,315,NaN
2025-02-01T16:00,5.8,86,238,12.8,3,96,1030.6,1030.6,0.7,314,0.12,214,1.2,309,NaN
2025-02-01T17:00,5.8,85,235,10.1,3,95,1030.3,1030.3,0.68,314,0.1,213,1,292,NaN
2025-02-01T18:00,5.6,84,209,10.3,3,97,1030.2,1030.2,0.66,313,0.08,211,0.7,270,NaN
2025-02-01T19:00,5.7,84,197,11.3,3,95,1030.4,1030.4,0.64,313,0.08,210,0.4,180,NaN
