latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
54.54,12.219999,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),wind_direction_10m (°),wind_speed_10m (km/h),relative_humidity_2m (%),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-01T06:00,4.4,3,1030.6,1030.6,91,287,17.3,88,0.36,270,0.18,288,0.4,207,NaN
2025-02-01T07:00,4.4,3,1030.9,1030.9,99,289,17.9,88,0.36,269,0.18,287,0.4,207,NaN
2025-02-01T08:00,4.4,3,1031.1,1031.1,94,288,19.4,88,0.34,269,0.18,285,0.2,180,NaN
2025-02-01T09:00,4.3,3,1031.5,1031.5,81,285,19.4,87,0.34,268,0.18,284,0.2,180,NaN
2025-02-01T10:00,4.4,3,1031.4,1031.4,86,288,20,87,0.32,268,0.18,283,0.2,180,NaN
2025-02-01T11:00,4.6,2,1031.1,1031.1,80,287,18.8,86,0.32,269,0.2,282,0.2,180,NaN
2025-02-01T12:00,4.3,3,1031.2,1031.2,81,276,18.4,88,0.3,269,0.2,281,0.4,180,NaN
2025-02-01T13:00,4.4,3,1030.8,1030.8,81,276,17.7,88,0.28,270,0.18,284,0.4,180,NaN
2025-02-01T14:00,4.4,3,1030.6,1030.6,95,282,18,90,0.28,270,0.16,288,0.4,207,NaN
2025-02-01T15:00,4.4,61,1030.3,1030.3,99,289,16.7,89,0.26,271,0.14,291,0.4,207,NaN
2025-02-01T16:00,4.4,3,1030.5,1030.5,92,297,16.9,89,0.24,272,0.12,295,0.4,207,NaN
2025-02-01T17:00,4.3,2,1030.5,1030.5,81,306,17,90,0.22,274,0.12,299,0.4,207,NaN
2025-02-01T18:00,4,2,1030.1,1030.1,70,307,16.2,92,0.2,275,0.1,303,0.4,207,NaN
2025-02-01T19:00,3.9,2,1030.2,1030.2,61,312,15.5,92,0.18,277,0.08,306,0.3,225,NaN
2025-02-01T20:00,3.8,2,1029.8,1029.8,74,318,14.5,92,0.16,278,0.06,310,0.3,225,NaN
2025-02-01T21:00,3.3,2,1029.8,1029.8,65,310,12.3,93,0.14,280,0.04,313,0.3,225,NaN
2025-02-01T22:00,3.3,2,1029.5,1029.5,70,309,12.5,94,0.12,283,0.04,316,0.3,225,NaN
2025-02-01T23:00,3.2,3,1029,1029,84,306,11.6,94,0.12,285,0.02,318,0.3,225,NaN
2025-02-02T00:00,3.2,2,1028.7,1028.7,77,307,10.8,96,0.1,288,0.02,321,0.3,225,NaN
2025-02-02T01:00,3,3,1028.3,1028.3,95,313,12.2,95,0.1,288,0.02,318,0.5,225,NaN
2025-02-02T02:00,3,3,1027.7,1027.7,98,308,10.5,95,0.12,287,0,316,0.5,225,NaN
2025-02-02T03:00,2.7,3,1028,1028,98,310,9.4,95,0.12,287,0,313,0.5,225,NaN
2025-02-02T04:00,2.8,3,1027.4,1027.4,99,307,9.5,94,0.12,284,0,311,0.6,236,NaN
2025-02-02T05:00,2.8,3,1027.3,1027.3,99,302,8.9,93,0.14,282,0,309,0.6,236,NaN
2025-02-02T06:00,2.6,3,1026.8,1026.8,99,309,7.4,92,0.14,279,0,307,0.5,225,NaN
2025-02-02T07:00,3,3,1026.9,1026.9,100,313,7.4,90,0.14,280,0.02,299,0.5,225,NaN
